股票名,股票代码,所属行业,题材关键词,公司信息,主营构成,总市值,市盈率估值,市净率估值," 市销率估值",市现率估值,综合估值状态,最新一期 ROE,价格,估算合理价格,当前价格是否合理,合理价格与当时价的价格差,预约财报披露日期,历史波动率 (%),净利润增长率 (%),营收增长率 (%),最新负债率 (%),最新股息率 (%),净利润 3 年复合增长率 (%),营收 3 年复合增长率 (%),上市以来年化收益率 (%),年化波动率 (%),预测净利润同比增长 (%),预测营收同比增长 (%),机构评级,每股收益预测,上市时间
九阳股份,002242.SZ,小家电,家电行业;品牌优势;渠道优势;产品优势;小家电龙头，豆浆机国标制订者;实控人通过实际控制JS及Bilting增持公司16.93%权益;拟斥资4000万至8000万元回购公司股份,"公司简介:
    九阳股份有限公司,1994年,九阳豆浆机诞生。一把大豆、一杯水倒进机器,十几分钟后就变成了一杯醇香豆浆。九阳豆浆机让制作豆浆变得如此简单,豆浆从此走进了寻常百姓家。2008年5月28日,九阳在深圳证券交易所上市。2014年,九阳销售额59.43亿,九阳第1亿个豆浆机用户诞生,产品覆盖全国30多个省、市、自治区,并远销日本、美国、新加坡、印尼、泰国等20多个国家和地区。九阳已形成跨区域的个性管理机构,在济南、杭州、苏州等地建有多个生产、研发基地。
主营业务:
    主要从事厨房小家电系列产品的研发、生产和销售。
所属概念:
    深成500,融资融券,电商概念,智能家居,中证500,证金持股,深股通,MSCI中国,养老金,富时罗素,标准普尔","按行业:
    家电行业: 96.94%
    其他(补充): 3.06%
按产品:
    食品加工机系列: 42.37%
    营养煲系列: 31.00%
    西式电器系列: 13.65%
    其他: 12.98%
按地区:
    境内销售: 91.68%
    境外销售: 8.32%",254.62 亿,估值较高,估值较高,估值中等,估值较低,估值中等,23.83,33.19,--,--,--,2021-04-30,0.42777797926228184,14.072820183239,20.0216030583,53.1190694354,3.012955709551,10.9172161346,15.6953913684,16.6327,7.2528,10.2241258431,10.8700639692,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.349655 预测市盈率:24.572922
2022 | 预测每股收益:1.522759 预测市盈率:21.774607
2023 | 预测每股收益:1.742609 预测市盈率:19.013510",2008-05-28
金石资源,603505.SH,金属非金属新材料,非金属矿采选业;资源优势;规模优势;技术优势;行业龙头;常山县新昌乡岩前萤石矿采选项目;正中精选资源综合利用项目;龙泉砩矿技术升级改造项目;子公司龙泉砩矿复产;股利分配;自愿锁定股份;稳定股价措施,"公司简介:
    金石资源集团股份有限公司是专业从事萤石矿投资开发以及萤石产品生产销售的实业集团,公司成立于2001年,于2017年5月3日在上交所主板(股票代码:603505)上市。集团的矿山运作、管理水平、采选技术、环境治理等在同行业中享有很高声誉,是浙江省萤石协会会长单位、中国非金属矿工业协会萤石专业委员会副理事长单位及浙江省矿业联合会副会长单位。公司本着“人、资源、环境和谐共生绿色发展”的理念,狠抓矿山管理,提高资源利用效率,建设绿色矿山,确保矿山安全,下属矿山企业多次荣获“节能减排先进企业”、“矿山安全标准省一级企业”、“国家级绿色矿山试点单位”、“省级绿色矿山”、“地方纳税大户”等称号。
主营业务:
    专注于萤石矿的投资和开发,以及萤石产品的生产和销售
所属概念:
    稀缺资源,融资融券,上证380,沪股通,标准普尔","按行业:
    自产产品: 98.99%
    其他(补充): 1.01%
按产品:
    自产酸级萤石精粉: 70.24%
    自产高品位萤石块矿: 27.32%
    自产冶金级萤石精粉: 1.29%
    其他: 1.15%
按地区:
    境内: 98.64%
    其他(补充): 1.01%
    境外: 0.35%",60.89 亿,估值较低,估值中等,估值中等,估值较低,估值较低,23.64,25.37,--,--,--,2021-04-29,0.5188108147922205,6.966138454089,8.7116526043,43.7957194018,1.182499014584,45.5865874867,32.5506078412,64.8417,10.6141,37.208935485,24.927929153,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.386000 预测市盈率:18.648698
2022 | 预测每股收益:1.702500 预测市盈率:14.887042
2023 | 预测每股收益:2.090000 预测市盈率:12.165435",2017-05-03
中电电机,603988.SH,电机,电机制造业;技术优势;产品优势;工艺制造和检测优势;股份过户完成 控股股东变更为宁波君拓,"公司简介:
    中电电机股份有限公司创建于2003年4月,坐落于美丽的太湖之滨——无锡市经济技术开发区,是江苏省高新技术企业。公司专业生产大中型直流电机、中高压异步电机、同步电机、风力发电机、防爆电机、船用电机、矿井提升机、汽轮发电机及其它特种电机(200KW以上),广泛应用于冶金、电力、建材、造纸、石化、矿山、水利、造船、市政等行业,产品出口到美国、德国、意大利、俄罗斯、韩国、南非、巴西、印度、泰国、印尼、孟加拉、越南、埃及等国家和地区。公司依靠严格科学的企业管理,在跨越发展中以更高、更快、更新作为企业目标,真诚地为国内外客户提供优质产品和优质服务,使公司成为业内领先,世界知名的大型现代企业。
主营业务:
    研发、生产和销售大中型直流电动机、中高压交流电动机、发电机、电机试验站电源系统和开关试验站电源系统等成套设备。
所属概念:
    预盈预增,风能,手游概念","按行业:
    机械行业: 100.00%
按产品:
    发电机: 51.34%
    交流电机: 37.52%
    直流电机: 8.05%
    其他: 3.10%
按地区:
    国内: 89.11%
    国外: 10.89%",35.44 亿,估值较低,估值中等,估值较低,估值中等,估值较低,23.48,15.07,--,--,--,2021-04-30,0.5784072077669392,50.885140184802,40.8558096866,40.2088747627,5.839416058394,72.9742207806,40.6859679996,20.4195,10.0242,0,0,,,2014-11-04
大参林,603233.SH,医药商业,"零售业;深耕华南、稳健扩张,全国规模领先的药品零售直营连锁企业;精细化的运营管理;高效、合理的物流配送体系;拟收购保定市盛世华兴医药连锁有限公司46%股权;玉林医药物流中心建设项目;信息化建设项目","公司简介:
    大参林医药集团股份有限公司,成立于1999年,是一家集医药制造、零售、批发为一体的集团化企业。公司以发展药店连锁为立业之本,经过多年耕耘,旗下门店遍布广东、广西、河南等国内多个省份。2017年7月31日,大参林正式在上海证券交易所主板上市。
主营业务:
    从事药品、中药饮片、参茸滋补品、保健品、医疗器械、个人护理、家居用品等的连锁零售业务
所属概念:
    转债标的,预盈预增,融资融券,电商概念,上证380,沪股通,MSCI中国,富时罗素,标准普尔","按行业:
    零售: 94.44%
    批发: 3.36%
    其他(补充): 2.20%
按产品:
    中西成药: 62.26%
    非药品: 20.66%
    中参药材: 14.88%
    其他(补充): 2.20%
按地区:
    华南地区: 82.14%
    华中地区: 7.52%
    华东地区: 4.98%
    其他: 5.36%",512.47 亿,估值中等,估值较高,估值较高,估值中等,估值中等,22.74,77.81,--,--,--,2021-04-29,0.4505818756379361,51.165305597992,30.8917440449,54.8091685497,1.028145482586,30.7716341034,25.2534325211,55.892,7.713,29.2416502542,26.6670825078,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.071154 预测市盈率:37.331035
2022 | 预测每股收益:2.632692 预测市盈率:29.373545
2023 | 预测每股收益:3.355278 预测市盈率:22.965787",2017-07-31
新五丰,600975.SH,畜牧业,生猪养殖行业;行业地位优势;抵御市场风险的能力优势;规模优势;供应港澳;拟3亿元投建隆回县生猪养殖发展项目,"公司简介:
    湖南新五丰股份有限公司成立于2001年6月26日,自成立以来,一直从事供港澳活大猪业务,是内地口岸公司中主要的活猪出口商之一,全国主要活体储备和湖南主要冻肉储备商,2010年被湖南省发改委纳入省战略性新兴产业百强企业之一。2019年再次被授予“农业产业化国家重点领先企业”,2004年度至2005年度曾被评为十佳农业产业化领先企业。2004年6月9日正式在上海证券交易所挂牌交易(证券代码为600975),成为国内较早以生猪养殖出口为主业的外向型上市公司。 公司总部位于湖南省长沙市五一西路2号第一大道19-20楼,公司以生猪产业经营为主业,涵盖饲料、原料贸易、种猪、商品猪、屠宰、冷链、物流、生猪交易、冷鲜肉品加工及销售、养殖设备等生猪全产业链。
    目前,公司自有标准化规模养殖基地13个。下辖的湘潭原种猪场于2015年11月获得了中华人民共和国农业部颁发的国家生猪核心育种场的牌匾(有效期5年);公司旗下还拥有安全优质鲜肉品销售子公司2家,饲料生产分公司2家、其它类分、子公司7家。还与省内数十家经过出口认证的注册场建立了长期的生猪贸易战略合作关系。
    在企业发展的过程中,我们坚持产业经营和资本运营并举,不断推动企业战略创新、体制机制创新、模式创新和技术创新。与此同时,以“业务协同、优势互补、产业整合、兼并重组”为方向,努力推动各方资源整合,探索低成本基础上企业跨越式发展路径。作为一家国有控股但充分参与市场竞争的企业,我们在注重发挥国有企业治理规范、发展资源优势的同时,充分借鉴民营企业嗅觉灵敏、机制灵活等方面的特点,力争将国企的实力和名企的活力相结合,打造独具新五丰特色的核心竞争力。
    新五丰正大力实施“创新驱动、转型升级”企业发展战略,秉承“为人类健康生活多做实事”的使命,秉持外销向内销转变、内销向产业转变、产业向全产业链转变、全产业链向品牌打造、技术创新、核心竞争力培育的战略发展思路,力争形成“从源头到终端”完整、安全的猪肉产业链、拥有较强核心竞争力的新五丰生猪产业化发展模式。向成为湖南较大、中国最有特色的生猪养殖产业链企业而奋斗。
主营业务:
    生猪养殖、肉品销售以及饲料加工
所属概念:
    机构重仓,预盈预增,融资融券,上证380,沪股通,猪肉概念,标准普尔","按行业:
    批发和零售: 50.40%
    畜牧业: 48.73%
    饲料加工: 0.70%
    其他(补充): 0.17%
按产品:
    生猪: 48.73%
    原料: 17.80%
    冻肉: 13.71%
    其他: 19.76%
按地区:
    境内地区: 93.51%
    港澳地区: 6.32%
    其他(补充): 0.17%",44.25 亿,估值较低,估值中等,估值较低,估值中等,估值较低,21.82,6.78,--,--,--,2021-04-30,0.5178897145032175,346.660664568218,27.8491731022,32.6418047555,0.737463126844,84.6432803189,16.4749258287,8.7401,7.8295,0,0,,,2004-06-09
陕西煤业,601225.SH,煤炭,煤炭行业;资源储备优势明显;新技术、新成果应用效果显著;传统产业与新兴产业并驾齐驱;拟不超50亿元回购股份,"公司简介:
    陕西煤业股份有限公司(以下简称“陕西煤业”或“公司”)是陕西煤业化工集团公司以煤炭主业资产出资,联合三峡集团、华能开发、陕西有色、陕鼓集团于2008年12月23日共同发起设立的股份有限公司。2014年元月28日,陕西煤业在上海证券交易所挂牌上市,股票代码601225,发行股票10亿股,募集资金40亿元。发行完成后,公司总股本为100亿元。公司控股股东为陕西煤业化工集团公司,实际控制人为陕西省国资委。
    公司具有较强的资源优势、产品优势、区位优势、政策优势和专业化管理优势。截止2017年末,公司拥有煤炭地质储量164.33亿吨,可采储量102.69亿吨,90%以上的煤炭储量属于优质煤,90%以上的煤炭资源位于陕北、黄陇等优质煤产区。 公司主营业务为煤炭开采、洗选、加工、销售以及生产服务等,主要产品为煤炭,具有低灰、低硫、低磷、高发热量等特点,是优质的动力、化工及冶金用煤。公司现有“黄灵牌”、“黄灵一号”、“玉华牌”、 “红柳林牌”等多个品牌,多次被陕西省评为“信得过产品”、“优质煤炭产品”。 近年来,公司以经济效益为中心,科学统筹内外部发展要素,挖掘公司潜力,严控成本费用,提升内部管理,调整优化结构,深化内部改革,坚定不移地走安全发展、绿色发展之路。2017年,公司完成原煤产量10097万吨,煤炭销量12338万吨;实现营业收入509.27亿元,归属于上市公司股东的净利润104.49亿元,每股收益1.04元/股。截至2017年12月31日,公司总资产1054.07亿元,所有者权益585.70亿元,在职员工2.8万人。
    公司将按照统筹规划、科学布局、集约开发、绿色开采、高效转化、清洁利用的煤炭发展方针,坚持调整存量、做优增量,坚持提质增效、集约发展,坚持深化改革、创新驱动,坚持绿色开发、清洁利用的原则,以生产为依托,以用户为中心,以大物流体系为平台,坚持共赢发展,建立煤炭全价值链协同体系。充分发挥好陕西区位和煤炭产业竞争优势,优化煤炭产业竞争力结构,努力使公司成为国际一流能源企业。
主营业务:
    煤炭生产、销售和运输等业务,并拥有完整的煤炭生产、销售和运输体系。
所属概念:
    HS300_,融资融券,上证180_,沪股通,证金持股,MSCI中国,富时罗素,标准普尔","按行业:
暂无数据
按产品:
    销售与运输: 96.20%
    神府矿区: 21.72%
    黄陵矿区: 11.25%
    其他: -29.17%
按地区:
暂无数据",1144.00 亿,估值中等,估值中等,估值较低,估值中等,估值较低,21.79,11.44,--,--,--,2021-04-30,0.4404656103730429,26.368093227774,26.2937139045,38.30064067,3.146853146853,61.6809075347,30.3639070483,18.9875,5.7095,20.1756913795,24.4659997412,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:1.399333 预测市盈率:8.175789
2021 | 预测每股收益:1.351333 预测市盈率:8.490654
2022 | 预测每股收益:1.400000 预测市盈率:8.188102",2014-01-28
索菲亚,002572.SZ,家具,定制家具行业;品牌力不断攀升;积极进取的全渠道营销体系;产品力;公司经销商持股计划完成股票购买,"公司简介:
    索菲亚家居股份有限公司是一家主要经营定制衣柜及全屋配套定制家具的研发、生产和销售的公司。公司于2003年开始生产、销售“索菲亚”品牌定制衣柜以来,凭借量身定做的定制衣柜和壁柜门相结合的崭新产品概念,成功把定制衣柜推向市场并获得中国消费者的认同。公司于2011年在深交所成功上市,是行业内A股上市公司(股票代码:002572)。
主营业务:
    定制衣柜及其配套定制家具的研发、生产和销售。
所属概念:
    参股券商,深成500,融资融券,电商概念,中证500,证金持股,虚拟现实,深股通,富时罗素,标准普尔","按行业:
    家具制造业: 99.57%
    其他(补充): 0.43%
按产品:
    衣柜及其配套产品: 80.23%
    橱柜及其配件: 14.50%
    木门: 3.49%
    其他: 1.78%
按地区:
    华南: 28.95%
    华东: 21.96%
    华北: 18.86%
    其他: 30.23%",279.00 亿,估值较低,估值中等,估值较低,估值中等,估值较低,20.92,30.58,--,--,--,2021-04-29,0.41501934121318745,10.656442320683,8.6748484786,39.0659190263,1.962066710268,9.5526838384,10.6752256975,21.1812,5.8422,17.2984853374,20.0259058841,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.532308 预测市盈率:19.950302
2022 | 预测每股收益:1.788846 预测市盈率:17.093175
2023 | 预测每股收益:2.104762 预测市盈率:14.528651",2011-04-12
安宁股份,002978.SZ,铁矿石,黑色金属矿采选业;绿色矿山企业政策优势;资源综合利用优势;信息化系统优势;自愿锁定股份;股利分配;稳定股价措施,"公司简介:
    四川安宁铁钛股份有限公司是一家以先进技术对多金属伴生矿进行采选的钒钛资源综合利用循环经济企业。主要业务为铁矿石的开采、洗选、销售,主要产品为钒钛铁精矿、钛精矿。
主营业务:
    钒钛磁铁矿的开采、洗选和销售
所属概念:
    参股银行,QFII重仓,深成500,深股通,钛白粉","按行业:
    黑色金属矿采选业: 99.28%
    其他(补充): 0.72%
按产品:
    钛精矿: 52.22%
    钒钛铁精矿(61%): 47.06%
    其他(补充): 0.72%
按地区:
    钒钛铁精矿(61%)四川省): 47.06%
    钛精矿其他省份: 33.17%
    钛精矿四川省: 19.06%
    其他(补充): 0.72%",194.85 亿,估值中等,估值中等,估值较高,估值较低,估值中等,20.64,48.59,--,--,--,2021-04-29,0.5072188738680838,34.934809865912,19.0232312573,15.2639862813,1.029018316526,8.3684460684,8.3312449317,78.1594,8.1939,57.0809084435,36.3150895493,"3月内:增持
6月内:增持
1年内:增持","2021 | 预测每股收益:2.742500 预测市盈率:17.705940
2022 | 预测每股收益:3.097500 预测市盈率:15.689528
2023 | 预测每股收益:3.280000 预测市盈率:14.809671",2020-04-17
集泰股份,002909.SZ,化学制品,化学原料和化学制品制造业;技术优势;节能环保优势;客户资源和品牌优势;拟斥资3000万至6000万元回购公司股份;自愿锁定股份;集泰化工中性硅酮密封胶及水性涂料产业化基地项目;股利分配;稳定股价措施,"公司简介:
    广州集泰化工股份有限公司成立于2006年,是一家以生产化学原料和化学制品制造业为主的重点高新技术企业,产品广泛应用于建筑工程、家庭装修、集装箱制造、钢结构制造、石化装备、船舶游艇等领域。公司经营管理团队在密封胶及涂料领域深耕20余年,在多年的行业实践中积淀了丰富的产业经验和厚实的经营基础,培养了一支诚信稳健、勤奋进取的人才队伍。
    公司长期以来一直将“新技术、新产品”的研发创新作为持续经营发展的首要战略。目前,公司已拥有10项发明专利和1项实用新型专利,并先后参与起草并修订了《中空玻璃用硅酮结构密封胶》、《建筑用阻燃密封胶》、《石材用建筑密封胶》、《集装箱密封胶》、《水性丙烯酸防腐涂料》、《水性环氧防腐涂料(双组分)》、《水性聚氨酯防腐涂料(双组分)》等多个国家、地方或行业标准。公司与华南理工大学已建立起“产、学、研”长期紧密的合作,将纳米改性技术运用到传统涂料生产体系中,开发出多种应用于专业领域的工业水性涂料,具有行业领先水平。
主营业务:
    化学原料和化学制品制造业
所属概念:
    机构重仓,股权激励,新能源车,装配建筑,有机硅","按行业:
    化学原料及化学制品制造业: 100.00%
按产品:
    有机硅密封胶: 68.12%
    水性涂料: 16.65%
    电子胶: 5.93%
    其他: 9.30%
按地区:
    华东地区: 38.25%
    华南地区: 31.09%
    华北地区: 8.80%
    其他: 21.87%",26.65 亿,估值较低,估值较低,估值中等,估值较低,估值较低,20.29,10,--,--,--,2021-04-29,0.5623126840721983,30.832224973499,23.8826064981,47.2879377921,1.5,35.1761342525,16.2037603546,34.7505,10.187,43.1753040905,8.6428370981,"3月内:
6月内:增持
1年内:买入","2021 | 预测每股收益:0.685000 预测市盈率:16.657384
2022 | 预测每股收益:0.835000 预测市盈率:13.632642
2023 | 预测每股收益:0.000000 预测市盈率:0.000000",2017-10-26
广州酒家,603043.SH,食品,食品制造业;品牌优势;多业态联动发展优势;全渠道销售体系优势;自愿锁定股份;广州酒家集团利口福食品有限公司利口福食品生产基地(广州)扩建项目;广州酒家集团利口福食品有限公司食品零售网络项目;广州酒家集团股份有限公司电子商务平台扩建项目;广州酒家集团股份有限公司餐饮门店建设项目;股利分配;稳定股价措施,"公司简介:
    广州酒家集团股份有限公司,中华老字号,创建于1935年,以经营传统粤菜驰名。公司上世纪90年代初组建集团,逐步开始发展连锁经营模式,并于2009年3月,正式成立广州酒家集团股份有限公司。2017年6月27日在上交所成功上市,股票代码603043,成为广东省上市饮食集团,主营业务包括餐饮服务和食品制作,目前拥有餐饮品牌“广州酒家”“天极品”“西西地”“好有形”,食品品牌“利口福”“秋之风”,拥有15间广州酒家餐饮店,2间西西地西式简餐,1间“好有形”融合餐厅,1个大型食品加工基地以及160多家食品连锁饼屋。公司被国家商务部评为“中国十大餐饮品牌企业”,2012年 被国家工商总局认定为“中国驰名商标”,2015年“粤菜烹饪技艺”成功入选广东省非物质文化遗产目录。广州酒家集团在秉承传统粤菜精华的基础上,深度发掘和弘扬粤菜文化,开发出“满汉大全筵”“南越王宴”“五朝宴”等宴席,不断积极促进粤菜的创新和发展,并涉足简餐和年轻化轻餐饮。广州酒家拥有近百名粤菜名师,多次在全国性烹饪大赛中屡获殊荣,多次代表中国菜参加国际比赛和出访世界各国,广州酒家厨师团更是连续多年受国务院侨办的委托,代表国家出访拉丁美洲、大洋洲、北欧等地举办厨艺表演和交流活动,促进了粤菜在世界范围内的推广。文昌店、滨江西店、体育东店、黄埔店更被评为“国家特级酒家”。为促进餐饮板块的多层次发展,广州酒家集团还成功开拓了“天极品”“西西地”“好有形”等副品牌,满足多元化消费需求。
主营业务:
    食品制造业务及餐饮业务,并以食品制造业务为主。
所属概念:
    上证380,沪股通,富时罗素,标准普尔","按行业:
    食品制造业: 82.01%
    餐饮业: 14.87%
    其他(补充): 1.11%
    其他: 2.01%
按产品:
    月饼系列产品: 41.91%
    速冻食品: 23.57%
    其他产品: 18.54%
    其他: 15.98%
按地区:
    广东省内: 74.25%
    境内广东省外: 23.42%
    境外: 1.22%
    其他(补充): 1.11%",163.58 亿,估值较高,估值较高,估值较高,估值较低,估值中等,19.72,40.49,--,--,--,2021-04-29,0.38186349766514366,20.686764189992,8.5444752163,33.3170092011,0.987898246481,10.8484870039,14.5140479493,36.3544,8.2615,24.1323187094,28.0326460488,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.408800 预测市盈率:28.424846
2022 | 预测每股收益:1.695200 预测市盈率:23.617574
2023 | 预测每股收益:1.950000 预测市盈率:20.490922",2017-06-27
电魂网络,603258.SH,互联网服务,游戏行业;精品化网络游戏产品优势;技术研发优势;运营优势;与腾讯签订游戏独家代理协议;股利分配;稳定股价措施,"公司简介:
    杭州电魂网络科技股份有限公司成立于2008年,是一家致力于研发、运营精品化网络游戏的互联网公司在产品的研发上有丰富的经验,对游戏制作有深刻认识和独特见解。电魂通过高效的游戏开发体系、精准的游戏推广方案,以竞技类网络游戏为特色产品,已发展成为集创意策划、美术设计、技术研发、产品开发、游戏推广、运营维护、海外合作于一体的游戏开发商、运营商。
    一直以来,公司秉持“铸就游戏之魂”的使命,致力于产品的自主研发,为用户打造更优秀的精品游戏。一直以来,公司秉持“铸就游戏之魂”的使命,致力于产品的自主研发,为用户打造更优秀的精品游戏。公司于2016年10月26日正式A股上市,注册用户达一亿七千万人,曾被授予中国十大游戏研发商、浙江省著名商标、杭州市企业高新技术研发中心等多项荣誉称号。
    目前,公司在端游、手游、VR、漫画等领域覆盖多款产品,知名游戏包括:梦三国、梦塔防、攻战魏蜀吴、光影对决、瞳、净界之涤等数十款产品,并在中国大陆、香港、台湾、泰国、马来西亚、新加坡、越南、韩国、菲律宾、印度尼西亚、澳大利亚、北美、中东等地形成布局,迈向国际化发展舞台。
主营业务:
    网络游戏产品的研发、制作和运营
所属概念:
    创投,网络游戏,预盈预增,手游概念,上证380,沪股通,电子竞技,富时罗素","按行业:
    网络游戏: 99.48%
    其他(补充): 0.52%
按产品:
    移动端游戏: 50.02%
    客户端游戏: 49.46%
    其他(补充): 0.52%
按地区:
    境内收入: 89.44%
    境外收入: 10.05%
    其他(补充): 0.52%",65.59 亿,估值较低,估值较低,估值较低,估值较低,估值较低,19.07,26.45,--,--,--,2021-04-30,0.5147839322767295,73.08350587774,46.9609248205,25.1081588592,0.604914933837,33.8880871994,27.052090571,13.755,10.8458,44.1527301088,59.4076560781,"3月内:增持
6月内:增持
1年内:增持","2021 | 预测每股收益:2.320000 预测市盈率:11.524324
2022 | 预测每股收益:2.831667 预测市盈率:9.447250
2023 | 预测每股收益:3.160000 预测市盈率:8.377286",2016-10-26
七一二,603712.SH,通信设备,计算机、通信和其他电子设备制造业;人力资源优势;行业引领作用与研发创新优势;完备的行业资质;中标2.12亿元轨道交通通信系统设备采购项目;津智资本并购公司控股股东中环集团51%股权;自愿锁定股份;实验测试中心建设项目;新型无线通信系统与终端研发及产业化项目;通信设备与系统生产线升级改造项目;股利分配;稳定股价措施,"公司简介:
    天津七一二通信广播股份有限公司是我国军、民用专网无线通信产品和整体解决方案的核心供应商,是具有八十多年历史的大型电子骨干企业。公司拥有国家级技术中心和国家级工业设计中心,是国家高新技术企业和国家技术创新示范企业。公司主营业务包括军用无线通信、民用无线通信及环保监测三大领域。
主营业务:
    军用无线通信、民用无线通信及环保监测
所属概念:
    军工,机构重仓,预盈预增,融资融券,北斗导航,中证500,无人机,上证380,沪股通,军民融合,MSCI中国,富时罗素,标准普尔","按行业:
    专用无线通信行业: 94.89%
    其他行业: 3.63%
    其他(补充): 1.48%
按产品:
    专用无线通信终端产品: 54.50%
    系统产品: 40.38%
    其他产品: 3.63%
    其他(补充): 1.48%
按地区:
    国内: 98.50%
    其他(补充): 1.48%
    国外: 0.02%",256.30 亿,估值较低,估值中等,估值较低,估值较低,估值较低,18.9,33.2,--,--,--,2021-04-30,0.5839031223578267,51.4794808672,25.9473150688,56.3025501711,0.301204819277,39.1286880768,21.987544631,90.7352,13.2851,40.0373292712,35.8825323873,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.948182 预测市盈率:34.989699
2022 | 预测每股收益:1.270000 预测市盈率:26.121992
2023 | 预测每股收益:1.738750 预测市盈率:19.094728",2018-02-26
豪迈科技,002595.SZ,通用设备,轮胎模具行业;研发创新和技术工艺优势;市场和品牌优势;良好的企业文化和管理优势;国内轮胎模具龙头;逐步打入跨国轮胎供应商的国际供应链;具备自主知识产权的电火花加工工艺;工期履约保证和服务优势,"公司简介:
    山东豪迈机械科技股份有限公司创于1995年,地处山东半岛蓝色经济区的高密市。二十多年来,公司以年均复合增长率50%的速度快速稳健发展。2008-2011年,豪迈科技连续四年上榜“福布斯中国潜力企业榜”,2014年豪迈科技荣登“福布斯2014中国具潜力企业排行榜-上市潜力企业100强”名单(位居山东省第二名)。
        豪迈现已成为世界轮胎模具研发与生产基地,年产各类轮胎模具20000套,与全球前75名轮胎生产商中62家建立了业务关系,是世界轮胎三强米其林、普利司通和固特异的优质供应商,轮胎模具国际市场占有率25%以上,轮胎模具出口额占国内同类产品的90%以上。
        公司奉行“努力把豪迈建设成员工实现自我价值奉献社会的理想平台”的企业宗旨,秉持“合伙、合作”的核心理念;树立“改善就是创新”的创新观,营造“鼓励创新、宽容失败”的创新氛围,建立并完善了全员创新体系;打造利益共同体、事业共同体和精神共同体,充分激发了员工干事创业的活力。
        公司相继在美国、泰国、匈牙利、印度以及辽宁、天津、贵州、昆山建立分子公司,在巴西、日本设立服务中心,使服务范围延伸至全球。更加快捷的为客户提供优质服务。
主营业务:
    汽车子午线轮胎模具及轮胎制造设备的生产、销售及相关技术开发
所属概念:
    深成500,风能,融资融券,中证500,证金持股,深股通,富时罗素,标准普尔","按行业:
    汽车轮胎装备行业: 58.64%
    大型零部件机械产品: 39.43%
    其他(补充): 1.93%
按产品:
    模具: 56.55%
    大型零部件机械产品: 39.43%
    其他: 4.03%
按地区:
    内销: 59.34%
    外销: 40.66%",244.80 亿,估值中等,估值中等,估值较低,估值较低,估值较低,18.72,30.6,--,--,--,2021-04-30,0.37905966664728774,16.7423119086,20.6841285549,17.160880043,1.225490196078,14.2250554702,20.9147013309,20.5214,5.1221,21.4244740366,20.4902619272,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.530000 预测市盈率:20.016353
2022 | 预测每股收益:1.793333 预测市盈率:17.059233
2023 | 预测每股收益:2.066667 预测市盈率:14.806452",2011-06-28
生益科技,600183.SH,电子元件,电子铜箔;品牌优势;管理优势;技术优势,"公司简介:
    广东生益科技股份有限公司创始于1985年,是集研发、生产、销售、服务为一体的全球电子电路基材核心供应商。经过三十余年的发展,通过生益人的不断努力,生益覆铜板板材产量从建厂之初的年产60万平方米发展到2017年度的8100多万平方米。根据美国Prismark调研机构对于全球硬质覆铜板的统计和排名,从2013年至2017年,生益科技硬质覆铜板销售总额已跃身全球第二。生益科技集团总部坐落于中国广东东莞,先后在咸阳、苏州、香港、台湾、常熟、南通和九江等地建立了全资子公司和控股子公司,集团员工近万人。生益科技技术力量雄厚,先后开发出多种在世界范围内广泛应用的高科技产品,由国家科技部于2011年批准组建“国家电子电路基材工程技术研究中心”,并于2016年获得“国家认定企业技术中心”之荣誉。同时,公司还设立了博士后科研工作站和广东省院士专家企业工作站,积极主导制定相关国际标准、国家标准和行业标准。
主营业务:
    生产和销售覆铜板和粘结片、印制线路板、陶瓷电子元件、液晶产品、电子级玻璃布、环氧树脂、铜箔、电子用挠性材料、显示材料、封装材料、绝缘材料,自有房屋出租。从事非配额许可证管理、非专营商品的收购出口业务。提供产品服务、技术服务、咨询服务、加工服务和佣金代理(拍卖除外)。
所属概念:
    HS300_,QFII重仓,融资融券,上证180_,沪股通,5G概念,证金持股,OLED,华为概念,富时罗素,PCB,标准普尔","按行业:
    覆铜板和粘结片: 73.87%
    印制线路板: 24.23%
    其他(补充): 1.91%
按产品:
    覆铜板: 74.56%
    印刷电路板: 24.65%
    其他: 0.78%
按地区:
    内销: 85.73%
    外销: 12.36%
    其他(补充): 1.91%",529.07 亿,估值中等,估值较高,估值中等,估值中等,估值中等,18.28,23.09,--,--,--,2021-04-30,0.4610919602956301,15.995873030115,10.9224900583,42.0217784917,1.731946932299,16.070780699,10.9633574489,19.6356,6.6831,25.4934394088,15.977713893,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.990267 预测市盈率:25.087318
2022 | 预测每股收益:1.167400 预测市盈率:21.429796
2023 | 预测每股收益:1.355917 预测市盈率:19.032513",1998-10-28
